ID,Group,Test,Baseline,Change,Percent_Change
A,10-sec,10 m,1.8,-0.03,-0.016666667
P,20-sec,10 m,1.88,-0.2,-0.106382979
V,20-sec,10 m,1.82,-0.09,-0.049450549
N,10-sec,10 m,1.83,-0.1,-0.054644809
J,20-sec,10 m,1.84,-0.1,-0.054347826
Q,10-sec,10 m,1.78,-0.1,-0.056179775
F,10-sec,10 m,1.75,-0.1,-0.057142857
I,20-sec,10 m,1.86,-0.1,-0.053763441
S,20-sec,10 m,1.81,-0.22,-0.121546961
K,20-sec,10 m,1.99,-0.19,-0.095477387
B,20-sec,10 m,1.78,-0.13,-0.073033708
M,10-sec,10 m,1.76,-0.14,-0.079545455
O,20-sec,10 m,1.74,-0.14,-0.08045977
G,20-sec,10 m,1.6,-0.02,-0.0125
R,10-sec,10 m,1.8,-0.19,-0.105555556
D,20-sec,10 m,1.91,-0.15,-0.078534031
C,10-sec,10 m,1.7,-0.11,-0.064705882
E,10-sec,10 m,1.8,-0.15,-0.083333333
T,10-sec,10 m,1.8,-0.11,-0.061111111
L,10-sec,10 m,1.84,-0.18,-0.097826087
W,20-sec,10 m,1.62,-0.04,-0.024691358
U,10-sec,10 m,1.91,-0.18,-0.094240838
A,10-sec,20 m,3.13,-0.07,-0.022364217
P,20-sec,20 m,3.17,-0.1,-0.031545741
V,20-sec,20 m,3.01,-0.06,-0.019933555
N,10-sec,20 m,3.03,-0.05,-0.01650165
J,20-sec,20 m,3.07,-0.06,-0.019543974
Q,10-sec,20 m,3.09,-0.07,-0.022653722
F,10-sec,20 m,3,-0.09,-0.03
I,20-sec,20 m,3.19,0,0
S,20-sec,20 m,3.1,-0.2,-0.064516129
K,20-sec,20 m,3.39,-0.1,-0.029498525
B,20-sec,20 m,3,-0.15,-0.05
M,10-sec,20 m,3.02,-0.17,-0.056291391
O,20-sec,20 m,2.97,-0.14,-0.047138047
G,20-sec,20 m,2.85,-0.04,-0.014035088
R,10-sec,20 m,3.05,-0.1,-0.032786885
D,20-sec,20 m,3.25,-0.1,-0.030769231
C,10-sec,20 m,3,-0.06,-0.02
E,10-sec,20 m,3.1,-0.14,-0.04516129
T,10-sec,20 m,3.13,-0.12,-0.038338658
L,10-sec,20 m,3.09,-0.14,-0.045307443
W,20-sec,20 m,2.95,-0.04,-0.013559322
U,10-sec,20 m,3.26,-0.34,-0.104294479
A,10-sec,40 m,5.58,-0.07,-0.012544803
P,20-sec,40 m,5.6,-0.18,-0.032142857
V,20-sec,40 m,5.43,-0.02,-0.003683241
N,10-sec,40 m,5.49,-0.1,-0.018214936
J,20-sec,40 m,5.45,-0.06,-0.011009174
Q,10-sec,40 m,5.5,-0.09,-0.016363636
F,10-sec,40 m,5.37,-0.1,-0.018621974
