ID,Group,Timeline,Test,Value
A,10-sec,Pre,Time_10m,1.8
A,10-sec,Pre,Time_20m,3.13
A,10-sec,Pre,Time_40m,5.58
A,10-sec,Pre,Max_Velocity,9.24
A,10-sec,Pre,CMJH,35.1
A,10-sec,Pre,MAS,3.9
P,20-sec,Pre,Time_10m,1.88
P,20-sec,Pre,Time_20m,3.17
P,20-sec,Pre,Time_40m,5.6
P,20-sec,Pre,Max_Velocity,8.57
P,20-sec,Pre,CMJH,38.67
P,20-sec,Pre,MAS,4.02
V,20-sec,Pre,Time_10m,1.82
V,20-sec,Pre,Time_20m,3.01
V,20-sec,Pre,Time_40m,5.43
V,20-sec,Pre,Max_Velocity,9.13
V,20-sec,Pre,CMJH,42.6
V,20-sec,Pre,MAS,4.17
N,10-sec,Pre,Time_10m,1.83
N,10-sec,Pre,Time_20m,3.03
N,10-sec,Pre,Time_40m,5.49
N,10-sec,Pre,Max_Velocity,8
N,10-sec,Pre,CMJH,41.4
N,10-sec,Pre,MAS,3.67
J,20-sec,Pre,Time_10m,1.84
J,20-sec,Pre,Time_20m,3.07
J,20-sec,Pre,Time_40m,5.45
J,20-sec,Pre,Max_Velocity,8.42
J,20-sec,Pre,CMJH,41.9
J,20-sec,Pre,MAS,3.91
Q,10-sec,Pre,Time_10m,1.78
Q,10-sec,Pre,Time_20m,3.09
Q,10-sec,Pre,Time_40m,5.5
Q,10-sec,Pre,Max_Velocity,9.17
Q,10-sec,Pre,CMJH,38.1
Q,10-sec,Pre,MAS,4.16
F,10-sec,Pre,Time_10m,1.75
F,10-sec,Pre,Time_20m,3
F,10-sec,Pre,Time_40m,5.37
F,10-sec,Pre,Max_Velocity,9.11
F,10-sec,Pre,CMJH,41.1
F,10-sec,Pre,MAS,4.45
I,20-sec,Pre,Time_10m,1.86
I,20-sec,Pre,Time_20m,3.19
I,20-sec,Pre,Time_40m,5.58
I,20-sec,Pre,Max_Velocity,8.87
I,20-sec,Pre,CMJH,36.1
I,20-sec,Pre,MAS,4.06
S,20-sec,Pre,Time_10m,1.81
S,20-sec,Pre,Time_20m,3.1
S,20-sec,Pre,Time_40m,5.48
S,20-sec,Pre,Max_Velocity,9.15
S,20-sec,Pre,CMJH,39.63
S,20-sec,Pre,MAS,4.08
K,20-sec,Pre,Time_10m,1.99
K,20-sec,Pre,Time_20m,3.39
K,20-sec,Pre,Time_40m,5.96
K,20-sec,Pre,Max_Velocity,7.95
K,20-sec,Pre,CMJH,29.8
K,20-sec,Pre,MAS,4.07
B,20-sec,Pre,Time_10m,1.78
B,20-sec,Pre,Time_20m,3
B,20-sec,Pre,Time_40m,5.39
B,20-sec,Pre,Max_Velocity,9.25
B,20-sec,Pre,CMJH,42.3
B,20-sec,Pre,MAS,4.25
M,10-sec,Pre,Time_10m,1.76
M,10-sec,Pre,Time_20m,3.02
M,10-sec,Pre,Time_40m,5.38
M,10-sec,Pre,Max_Velocity,9.01
M,10-sec,Pre,CMJH,42.9
M,10-sec,Pre,MAS,4.12
O,20-sec,Pre,Time_10m,1.74
O,20-sec,Pre,Time_20m,2.97
O,20-sec,Pre,Time_40m,5.42
O,20-sec,Pre,Max_Velocity,8.69
O,20-sec,Pre,CMJH,42.3
O,20-sec,Pre,MAS,3.65
G,20-sec,Pre,Time_10m,1.6
G,20-sec,Pre,Time_20m,2.85
G,20-sec,Pre,Time_40m,5.19
G,20-sec,Pre,Max_Velocity,9.24
