ID,Group,Test,Pre,Post
A,10-sec,Time_10m,1.8,1.77
A,10-sec,Time_20m,3.13,3.06
A,10-sec,Time_40m,5.58,5.51
A,10-sec,Max_Velocity,9.24,9.53
A,10-sec,CMJH,35.1,43.9
A,10-sec,MAS,3.9,4.06
P,20-sec,Time_10m,1.88,1.68
P,20-sec,Time_20m,3.17,3.07
P,20-sec,Time_40m,5.6,5.42
P,20-sec,Max_Velocity,8.57,9.14
P,20-sec,CMJH,38.67,40.2
P,20-sec,MAS,4.02,4.24
V,20-sec,Time_10m,1.82,1.73
V,20-sec,Time_20m,3.01,2.95
V,20-sec,Time_40m,5.43,5.41
V,20-sec,Max_Velocity,9.13,9.43
V,20-sec,CMJH,42.6,44.6
V,20-sec,MAS,4.17,4.4
N,10-sec,Time_10m,1.83,1.73
N,10-sec,Time_20m,3.03,2.98
N,10-sec,Time_40m,5.49,5.39
N,10-sec,Max_Velocity,8,8.4
N,10-sec,CMJH,41.4,43.9
N,10-sec,MAS,3.67,3.88
J,20-sec,Time_10m,1.84,1.74
J,20-sec,Time_20m,3.07,3.01
J,20-sec,Time_40m,5.45,5.39
J,20-sec,Max_Velocity,8.42,9.25
J,20-sec,CMJH,41.9,42.8
J,20-sec,MAS,3.91,4.17
Q,10-sec,Time_10m,1.78,1.68
Q,10-sec,Time_20m,3.09,3.02
Q,10-sec,Time_40m,5.5,5.41
Q,10-sec,Max_Velocity,9.17,9.69
Q,10-sec,CMJH,38.1,40.2
Q,10-sec,MAS,4.16,4.44
F,10-sec,Time_10m,1.75,1.65
F,10-sec,Time_20m,3,2.91
F,10-sec,Time_40m,5.37,5.27
F,10-sec,Max_Velocity,9.11,9.69
F,10-sec,CMJH,41.1,43.7
F,10-sec,MAS,4.45,4.62
I,20-sec,Time_10m,1.86,1.76
I,20-sec,Time_20m,3.19,3.19
I,20-sec,Time_40m,5.58,5.56
I,20-sec,Max_Velocity,8.87,9.11
I,20-sec,CMJH,36.1,38.4
I,20-sec,MAS,4.06,4.46
S,20-sec,Time_10m,1.81,1.59
S,20-sec,Time_20m,3.1,2.9
S,20-sec,Time_40m,5.48,5.23
S,20-sec,Max_Velocity,9.15,9.61
S,20-sec,CMJH,39.63,44.63
S,20-sec,MAS,4.08,4.33
K,20-sec,Time_10m,1.99,1.8
K,20-sec,Time_20m,3.39,3.29
K,20-sec,Time_40m,5.96,5.91
K,20-sec,Max_Velocity,7.95,8.64
K,20-sec,CMJH,29.8,32.2
K,20-sec,MAS,4.07,4.69
B,20-sec,Time_10m,1.78,1.65
B,20-sec,Time_20m,3,2.85
B,20-sec,Time_40m,5.39,5.25
B,20-sec,Max_Velocity,9.25,9.81
B,20-sec,CMJH,42.3,44.65
B,20-sec,MAS,4.25,4.44
M,10-sec,Time_10m,1.76,1.62
M,10-sec,Time_20m,3.02,2.85
M,10-sec,Time_40m,5.38,5.23
M,10-sec,Max_Velocity,9.01,9.42
M,10-sec,CMJH,42.9,45.12
M,10-sec,MAS,4.12,4.28
O,20-sec,Time_10m,1.74,1.6
O,20-sec,Time_20m,2.97,2.83
O,20-sec,Time_40m,5.42,5.29
O,20-sec,Max_Velocity,8.69,9.11
O,20-sec,CMJH,42.3,44.56
O,20-sec,MAS,3.65,3.91
G,20-sec,Time_10m,1.6,1.58
G,20-sec,Time_20m,2.85,2.81
G,20-sec,Time_40m,5.19,5.15
G,20-sec,Max_Velocity,9.24,9.69
G,20-sec,CMJH,42.3,45.31
G,20-sec,MAS,4.41,4.63
R,10-sec,Time_10m,1.8,1.61
R,10-sec,Time_20m,3.05,2.95
R,10-sec,Time_40m,5.4,5.27
R,10-sec,Max_Velocity,9.13,9.43
R,10-sec,CMJH,42.6,46.2
R,10-sec,MAS,4.19,4.47
D,20-sec,Time_10m,1.91,1.76
D,20-sec,Time_20m,3.25,3.15
D,20-sec,Time_40m,5.78,5.72
D,20-sec,Max_Velocity,8.4,9.03
D,20-sec,CMJH,38,40.2
D,20-sec,MAS,4.1,4.22
C,10-sec,Time_10m,1.7,1.59
C,10-sec,Time_20m,3,2.94
C,10-sec,Time_40m,5.47,5.35
C,10-sec,Max_Velocity,8.57,9.17
C,10-sec,CMJH,38.4,41.25
C,10-sec,MAS,4.16,4.46
E,10-sec,Time_10m,1.8,1.65
E,10-sec,Time_20m,3.1,2.96
E,10-sec,Time_40m,5.56,5.45
E,10-sec,Max_Velocity,8.25,9.58
E,10-sec,CMJH,40.4,43.26
E,10-sec,MAS,4.33,4.61
T,10-sec,Time_10m,1.8,1.69
T,10-sec,Time_20m,3.13,3.01
T,10-sec,Time_40m,5.43,5.29
T,10-sec,Max_Velocity,8.38,9.33
T,10-sec,CMJH,40.24,43.67
T,10-sec,MAS,3.72,3.85
L,10-sec,Time_10m,1.84,1.66
L,10-sec,Time_20m,3.09,2.95
L,10-sec,Time_40m,5.33,5.26
L,10-sec,Max_Velocity,9.04,9.81
L,10-sec,CMJH,45.7,47.3
L,10-sec,MAS,4.18,4.59
W,20-sec,Time_10m,1.62,1.58
W,20-sec,Time_20m,2.95,2.91
W,20-sec,Time_40m,5.24,5.2
W,20-sec,Max_Velocity,8.9,9.39
W,20-sec,CMJH,40.35,42.35
W,20-sec,MAS,4.28,4.64
U,10-sec,Time_10m,1.91,1.73
U,10-sec,Time_20m,3.26,2.92
U,10-sec,Time_40m,5.75,5.34
U,10-sec,Max_Velocity,8.34,8.97
U,10-sec,CMJH,36.18,38.18
U,10-sec,MAS,4.2,4.41
