ID,Sport,Sex,Age,Body mass,10 m,20 m,30 m,40 m,F0,V0,Pmax,FV Slope,RF max,DRF
,,,(y),(kg),(s),(s),(s),(s),(N/kg),(m/s),(W/kg),(N/s/m/kg),(%),(%)
1,Alpine skiing,M,21.1369863013699,77,2.019,3.27,4.459,5.636,8.69379669784412,8.85954117590478,19.2557624548737,-0.981291979486315,47.2394290473129%,-9.10159049316348%
2,Alpine skiing,M,22.7178082191781,81,2.044,3.289,4.442,5.645,8.07871696586748,9.19780306645279,18.576611920415,-0.87833115228712,46.4806281807924%,-8.14984859962675%
3,Alpine skiing,M,22.7260273972603,81,2.096,3.367,4.595,5.787,8.01564231389234,8.67594485198239,17.3858176671366,-0.923892722999596,45.3564915572227%,-8.63092373442137%
4,Alpine skiing,M,27.3369863013699,82,2.052,3.322,4.493,5.667,8.12502627843668,8.96804330101703,18.2163968717303,-0.905997663672661,46.1759234394059%,-8.42824932930723%
5,Alpine skiing,M,19.9972602739726,83,2.105,3.417,4.629,5.825,7.8015952212113,8.63010053319664,16.83213776959,-0.903998185328386,44.7515225727071%,-8.46363941518945%
6,Alpine skiing,M,20.5890410958904,85,1.983,3.173,4.335,5.452,8.95636351370341,9.21797952132285,20.6398938637103,-0.971618942414194,48.5211364876862%,-8.9621262213703%
7,Alpine skiing,M,20.627397260274,85,2.039,3.302,4.432,5.585,7.97057943367315,9.27079709816036,18.4734061710884,-0.859751254318227,46.3382353017985%,-7.98041184121739%
8,Alpine skiing,M,24.1095890410959,85,1.989,3.243,4.385,5.512,8.71687750151305,9.08845952601745,19.8057470914384,-0.959114960743272,47.7561701677075%,-8.87585267279429%
9,Alpine skiing,M,29.6520547945206,86,2.137,3.453,4.645,5.86,7.30680461288518,8.82064295680924,16.1126786613567,-0.828375510568033,43.7983120728819%,-7.76853323306846%
10,Alpine skiing,M,30.1315068493151,86,2.025,3.225,4.329,5.434,7.93063637725147,9.77159642287851,19.3737445137752,-0.811600892427695,47.0532031381257%,-7.49220298356318%
11,Alpine skiing,M,26.1178082191781,87,2.011,3.25,4.406,5.552,8.52949841749028,9.1050881176901,19.4154586727368,-0.936783730946928,47.3773309805424%,-8.68004276755664%
12,Alpine skiing,M,30.5972602739726,87,2.017,3.313,4.529,5.715,8.97878165045675,8.48911272734995,19.0554723962471,-1.05768199090221,47.003122223959%,-9.8521184813553%
13,Alpine skiing,M,25.7534246575342,92,2.037,3.339,4.53,5.68,8.49479605245966,8.64677763394038,18.3631531278233,-0.982423327172869,46.3822577414898%,-9.16217465867869%
14,Alpine skiing,W,18.6191780821918,55.9,2.186,3.658,5.044,6.47,8.16424964547472,7.36179572367167,15.0258845317609,-1.10900247058239,42.6593206300251%,-10.5013823360101%
15,Alpine skiing,W,23.3232876712329,64.3,2.192,3.584,4.881,6.197,7.42422491660738,8.01923197591879,14.8841454619177,-0.92580248818114,42.6035183647341%,-8.73991468089188%
16,Alpine skiing,W,23.358904109589,64.6,2.217,3.69,5.029,6.403,7.4690745396631,7.5815099521919,14.1567157390297,-0.985169786330453,41.7651878259598%,-9.34613641854455%
17,Alpine skiing,W,19.0667696917808,65,2.11,3.44,4.67,5.95,7.87274086310321,8.47860141504176,16.687457955541,-0.928542394873793,44.6212995413825%,-8.69357169667385%
18,Alpine skiing,W,19.3917808219178,66.5,2.203,3.627,5.023,6.387,7.99667931598029,7.45997388317687,14.9137547123384,-1.07194467986192,42.600300385907%,-10.1584183754367%
