ID,Group,S1_Gym_L,S1_Gym_B,S1_RST_L,S1_RST_B,S1_FT_L,S1_FT_B,S1_Match_L,S1_Match_B,S2_Gym_L,S2_Gym_B,S2_RST_L,S2_RST_B,S2_FT_L,S2_FT_B,S2_Match_L,S2_Match_B,S3_Gym_L,S3_Gym_B,S3_RST_L,S3_RST_B,S3_FT_L,S3_FT_B,S3_Match_L,S3_Match_B,S4_Gym_L,S4_Gym_B,S4_RST_L,S4_RST_B,S4_FT_L,S4_FT_B,S4_Match_L,S4_Match_B,S5_Gym_L,S5_Gym_B,S5_RST_L,S5_RST_B,S5_FT_L,S5_FT_B,S5_Match_L,S5_Match_B,S6_Gym_L,S6_Gym_B,S6_RST_L,S6_RST_B,S6_FT_L,S6_FT_B,S6_Match_L,S6_Match_B,S7_Gym_L,S7_Gym_B,S7_RST_L,S7_RST_B,S7_FT_L,S7_FT_B,S8_Gym_L,S8_Gym_B,S8_RST_L,S8_RST_B,S8_FT_L,S8_FT_B,S9_Gym_L,S9_Gym_B,S9_RST_L,S9_RST_B,S9_FT_L,S9_FT_B,S10_Gym_L,S10_Gym_B,S10_RST_L,S10_RST_B,S10_FT_L,S10_FT_B,S11_Gym_L,S11_Gym_B,S11_RST_L,S11_RST_B,S11_FT_L,S11_FT_B,S12_Gym_L,S12_Gym_B,S12_RST_L,S12_RST_B,S12_FT_L,S12_FT_B
A,10-sec,50,50,40,65,65,60,55,70,55,55,65,60,50,70,70,65,45,55,45,50,65,75,55,55,45,60,55,70,70,65,70,60,60,50,55,45,65,55,55,80,60,45,50,60,55,55,50,70,50,55,50,55,70,45,55,45,55,60,65,70,65,60,55,45,70,60,50,45,60,65,60,45,55,65,60,40,55,70,55,65,50,60,60,60
P,20-sec,50,50,45,65,60,60,55,75,50,55,55,55,50,60,60,55,45,55,55,55,65,70,55,55,45,55,60,70,70,75,65,70,50,50,55,55,70,55,60,75,55,40,50,65,65,65,50,65,50,50,55,55,70,50,55,45,60,60,65,70,55,55,60,55,70,60,55,50,60,65,55,55,50,55,65,45,50,60,55,65,50,65,60,60
V,20-sec,50,50,50,65,60,55,65,75,55,50,60,55,55,65,60,60,45,55,55,55,60,65,60,55,50,55,60,75,70,75,55,70,50,55,60,60,75,50,60,70,55,45,50,65,65,65,55,65,55,50,60,50,70,50,50,55,55,55,60,60,50,50,60,55,75,55,60,50,55,55,55,50,50,50,60,50,50,65,55,55,50,65,50,60
N,10-sec,55,50,55,55,65,65,60,80,50,55,60,50,60,55,55,55,45,55,60,55,50,55,70,60,50,55,60,65,65,65,50,60,45,50,50,65,60,55,60,60,50,45,50,60,60,60,60,70,55,45,60,55,70,60,50,55,65,55,60,65,45,50,50,60,60,50,60,55,50,55,55,65,45,50,55,55,55,60,55,45,50,55,50,55
J,20-sec,55,50,50,45,70,70,65,70,60,65,60,50,55,55,55,60,50,50,50,60,50,55,65,65,55,55,55,55,60,55,50,60,55,60,60,55,55,60,60,55,50,50,55,50,55,55,65,70,60,50,60,60,60,60,55,50,60,55,65,60,55,50,40,45,60,50,60,55,50,55,60,60,50,50,55,60,65,65,55,45,50,45,55,60
Q,10-sec,55,50,50,40,75,65,65,70,50,65,55,45,60,45,50,65,55,50,50,65,55,55,60,70,50,60,55,45,60,55,60,55,55,55,60,55,55,65,65,60,50,50,60,60,55,55,60,70,60,40,50,65,60,70,55,50,65,50,60,65,55,60,50,50,55,55,60,50,50,60,55,55,50,50,60,65,65,60,60,50,55,55,55,60
F,10-sec,55,50,50,50,70,60,75,65,60,60,50,50,50,50,55,60,55,45,55,70,60,55,55,60,50,50,60,55,55,65,60,65,55,50,65,55,55,65,60,60,55,55,55,55,65,65,65,65,60,40,55,60,60,70,60,50,65,55,55,70,45,60,55,60,60,60,55,45,50,70,55,50,50,45,60,75,75,60,60,50,55,55,50,60
I,20-sec,50,50,50,60,75,55,70,60,50,50,60,55,65,50,55,65,50,45,60,70,75,50,55,55,50,50,60,70,60,70,60,75,45,50,60,65,50,60,55,65,55,45,55,70,55,60,60,65,60,45,55,70,70,65,55,55,65,55,65,70,50,60,60,75,60,70,50,40,55,60,55,55,50,50,55,70,70,60,55,45,55,55,50,55
S,20-sec,50,50,60,70,70,55,60,55,50,45,60,70,60,60,55,65,45,45,60,75,80,60,55,50,55,45,60,70,60,80,55,65,45,50,55,65,55,55,60,70,55,45,65,70,60,65,60,65,60,45,60,75,75,55,50,50,60,65,70,60,45,55,60,75,60,75,50,45,60,70,55,60,50,55,55,70,80,60,50,45,55,55,50,60
K,20-sec,50,45,55,65,60,55,50,55,40,50,60,65,65,70,50,75,50,50,60,60,85,65,50,65,50,45,65,60,65,75,60,70,50,55,55,60,55,60,70,65,50,40,70,70,50,60,60,60,55,50,55,85,75,50,45,50,55,70,80,50,50,55,60,65,65,80,50,50,65,65,55,60,55,55,55,60,75,55,50,50,55,60,60,70
